n16_47_0_m1 9058
n49_126_0_m1 28495
n24_21_0_m1 13582
n3_118_0_m3_mid 2407
n48_120_0_m1 27890
n51_27_0_m6_mid 29844
n3_93_0_m3 2300
n35_31_0_m3_mid 20573
n50_117_0_m1 29057
n24_60_0_m1 13744
n25_104_0_m3 15084
n27_119_0_m1_mid 16305
n17_16_0_m3 10084
n39_42_0_m1 22355
n38_138_0_m1 22176
n15_14_0_m1 8341
n33_42_0_m3_mid 19461
n41_5_0_m3 23936
n14_58_0_m1_mid 8524
n38_2_0_m3 22185
n26_65_0_m1 14924
n0_90_0_m1_mid 477
n45_116_0_m1_mid 26715
n29_99_0_m6 16805
n14_53_0_m1_mid 8504
n18_86_0_m1 10378
n38_90_0_m1 21976
n38_136_0_m1 22168
n23_7_0_m3 13522
n43_40_0_m3_mid 25243
n20_132_0_m3 12305
n14_84_0_m3 8631
n4_87_0_m1_mid 2854
n30_74_0_m1 17276
n20_124_0_m3_mid 12276
n19_75_0_m3_mid 11491
n7_132_0_m1_mid 4779
n6_9_0_m3 3687
n41_62_0_m3 24172
n22_97_0_m3_mid 13320
n16_116_0_m1_mid 9924
n50_100_0_m1_mid 29567
n9_61_0_m3 5640
n21_13_0_m3_mid 12391
n3_40_0_m3 2078
n17_57_0_m3_mid 10259
n11_52_0_m3 6760
n26_16_0_m3 15295
n17_121_0_m1 9945
n36_10_0_m3 21061
n19_64_0_m3_mid 11447
n15_102_0_m1_mid 9287
n8_133_0_m3 5361
n25_19_0_m3_mid 14733
n5_22_0_m3 3162
n15_59_0_m3 9106
n1_54_0_m1_mid 958
n27_120_0_m3 16308
n39_132_0_m3_mid 23309
n50_39_0_m3_mid 29313
n8_46_0_m3_mid 5002
n15_135_0_m3 9422
n33_11_0_m3_mid 19331
n14_1_0_m3_mid 8288
n14_1_0_m3 8285
n22_59_0_m3 13159
n48_13_0_m1 27444
n11_88_0_m3_mid 6915
n50_118_0_m3 29640
n0_119_0_m1_mid 628
n40_125_0_m1_mid 23858
n34_54_0_m1 19510
n16_136_0_m1_mid 10008
n49_33_0_m3 28691
n39_13_0_m3_mid 22813
n46_24_0_m1_mid 26910
n44_113_0_m3 26123
n8_45_0_m3 4995
n5_75_0_m6 2809
n52_47_0_m3 30400
n32_58_0_m3 18945
n12_112_0_m3 7589
n10_113_0_m3 6437
n23_58_0_m3_mid 13737
n28_89_0_m3_mid 16762
n50_90_0_m1_mid 29525
n0_94_0_m1 496
n3_46_0_m3 2104
n51_67_0_m3 30007
n40_49_0_m3_mid 23542
n52_16_0_m3_mid 30339
n16_33_0_m3 9577
n5_13_0_m1_mid 3125
n49_37_0_m3 28707
n14_32_0_m3 8415
n2_26_0_m3 1423
n45_52_0_m3 26446
n42_98_0_m1 24324
n28_58_0_m1 16052
n16_27_0_m1 8974
n6_1_0_m3 3653
n25_84_0_m3 15000
n21_38_0_m3 12492
n49_81_0_m1_mid 28900
n47_20_0_m1_mid 27473
n50_13_0_m1 28605
n41_56_0_m3_mid 24151
n41_23_0_m1_mid 24011
n16_56_0_m1_mid 9674
n6_111_0_m1 3534
n30_40_0_m1 17136
n41_102_0_m3_mid 24343
n30_58_0_m1_mid 17788
n12_75_0_m1_mid 7436
n21_46_0_m3_mid 12529
n21_32_0_m1 11891
n43_111_0_m6_mid 25539
n23_93_0_m3_mid 13883
n16_79_0_m3 9769
n9_131_0_m1_mid 5933
n5_93_0_m3 3458
n6_98_0_m3_mid 4060
n5_101_0_m1 2915
n11_46_0_m3 6736
n47_29_0_m3_mid 27513
n50_0_0_m1 28547
n2_7_0_m3 1343
n48_98_0_m3_mid 28378
n4_39_0_m1 2076
n42_20_0_m1 24000
n36_109_0_m1 20896
n32_123_0_m3 19215
n33_98_0_m3 19690
n22_119_0_m1_mid 13410
n44_137_0_m3_mid 26226
n8_0_0_m3 4809
n2_26_0_m1_mid 1424
n43_21_0_m1_mid 25161
n39_98_0_m3 23164
n9_134_0_m1 5367
n15_37_0_m3 9014
n2_29_0_m1_mid 1440
n28_13_0_m3_mid 16444
n48_117_0_m1_mid 28456
n25_85_0_m3_mid 15007
n22_74_0_m3_mid 13224
n22_107_0_m3_mid 13362
n5_40_0_m1 2661
n15_135_0_m3_mid 9425
n11_58_0_m1 6209
n27_69_0_m1 15519
n7_15_0_m1 3713
n29_87_0_m1_mid 17329
n47_68_0_m1 27095
n18_35_0_m3 10743
n0_87_0_m1 458
n2_49_0_m1 937
n42_27_0_m6 24032
n27_49_0_m1 15435
n22_58_0_m3 13155
n2_93_0_m3 1715
n16_37_0_m1_mid 9594
n18_68_0_m3_mid 10884
n14_49_0_m3 8485
n25_113_0_m3 15122
n9_101_0_m1_mid 5809
n44_117_0_m1 25562
n14_17_0_m3 8353
n39_96_0_m1 22579
n38_102_0_m1 22026
n43_22_0_m1_mid 25165
n5_122_0_m3 3578
n4_138_0_m1_mid 3068
n27_50_0_m1 15439
n30_17_0_m3 17617
n17_12_0_m1 9491
n3_27_0_m6 1433
n45_117_0_m1_mid 26719
n42_56_0_m1_mid 24728
n35_38_0_m1_mid 20599
n32_24_0_m3 18803
n0_36_0_m3 190
n30_111_0_m6_mid 18012
n45_105_0_m1_mid 26669
n13_8_0_m3_mid 7739
n35_46_0_m3_mid 20635
n21_121_0_m3 12838
n9_49_0_m3_mid 5593
n38_135_0_m1 22162
n31_34_0_m3_mid 18269
n6_45_0_m1_mid 3838
n8_88_0_m3_mid 5178
n11_31_0_m1_mid 6675
n40_98_0_m1 23166
n39_22_0_m3 22848
n23_1_0_m1 12919
n4_47_0_m3_mid 2690
n38_44_0_m3_mid 22364
n52_82_0_m3_mid 30471
n27_26_0_m1 15339
n46_23_0_m3 26905
n23_118_0_m1 13407
n6_45_0_m1 3260
n4_110_0_m3 2949
n35_9_0_m3 20478
n20_123_0_m6_mid 12272
n19_120_0_m3_mid 11679
n38_34_0_m1_mid 22320
n35_91_0_m3 20820
n29_118_0_m3_mid 17461
n27_112_0_m3 16274
n15_0_0_m1 8282
n25_60_0_m1_mid 14901
n22_94_0_m1_mid 13306
n51_70_0_m1 29442
n46_59_0_m3_mid 27058
n19_32_0_m1 10733
n6_102_0_m1 3498
n35_24_0_m3_mid 20543
n31_86_0_m3 18482
n18_79_0_m1_mid 10928
n36_55_0_m3_mid 21252
n46_32_0_m1 26366
n5_9_0_m1_mid 3109
n25_127_0_m3_mid 15183
n39_90_0_m3 23132
n50_123_0_m6 29085
n18_30_0_m1_mid 10724
n46_103_0_m3 27239
n49_66_0_m1 28245
n20_76_0_m3 12071
n18_128_0_m1_mid 11132
n12_126_0_m3_mid 7652
n12_34_0_m3_mid 7268
n36_82_0_m3_mid 21364
n44_123_0_m3_mid 26166
n31_127_0_m3_mid 18657
n48_32_0_m1 27524
n39_63_0_m3 23018
n21_72_0_m1 12057
n19_35_0_m1 10745
n41_42_0_m1_mid 24091
n1_59_0_m3_mid 980
n42_30_0_m3_mid 24622
n12_118_0_m3 7615
n19_32_0_m3_mid 11313
n1_32_0_m1 173
n14_75_0_m1_mid 8594
n30_124_0_m3_mid 18066
n1_32_0_m1_mid 866
n17_0_0_m3_mid 10021
n12_0_0_m3 7125
n26_62_0_m1 14910
n51_89_0_m1 29522
n42_48_0_m1 24116
n37_15_0_m6_mid 21665
n23_102_0_m1 13341
n14_37_0_m1_mid 8436
n10_38_0_m3 6123
n31_99_0_m6 17963
n2_24_0_m1 833
n50_120_0_m3_mid 29651
n14_117_0_m1 8192
n12_128_0_m1_mid 7658
n27_31_0_m1_mid 15939
n28_83_0_m3_mid 16736
n15_1_0_m1_mid 8865
n46_15_0_m1_mid 26872
n35_24_0_m3 20540
n5_12_0_m1 2543
n29_51_0_m1 16601
n40_0_0_m3_mid 23338
n33_45_0_m1 18893
n26_30_0_m1_mid 15356
n11_101_0_m3 6966
n33_135_0_m6_mid 19849
n33_64_0_m1 18973
n21_27_0_m6_mid 12451
n30_46_0_m1_mid 17738
n3_36_0_m1_mid 2063
n47_104_0_m3 27822
